ID,NAME,TYPE,PARENT_ID
1,BANjA LUKA,LC,1590
2,VALPARAISO (Closed),LC,1566
3,SE Yangon,LC,4
4,Myanmar,MC,1630
6,UNS,LC,1539
7,Horsens,LC,1577
12,BELÉM,LC,1606
14,Jodhpur,LC,1585
15,Suez,LC,1609
16,ESEN,LC,1572
17,Santa Ana,LC,1572
19,Davao [Closed],LC,1604
20,PRAIA,LC,29
21,Dehradun,LC,1585
23,Vientiane,LC,55
25,IBA,LC,1603
26,České Budějovice 🚫,LC,1570
28,BRIDGETOWN,LC,30
29,Cabo Verde,MC,1632
30,Barbados,MC,1627
32,BAURU,LC,1606
34,MC Spain [oGX National Accounts],LC,1619
36,PM,LC,1539
37,(Closed ASU),LC,518
39,SMU,LC,1562
42,Managua (Nicaragua),LC,178
43,VINNYTSIA,LC,1610
47,Kout,LC,56
48,Thai-Nichi Institute of Technology,LC,1607
50,TEMUCO,LC,1566
53,Kathmandu,LC,112
54,Baku ADA,LC,539
55,Laos,MC,1630
56,Kuwait,MC,1632
57,Montenegro,MC,1629
59,MEKELLE,LC,476
60,MAINZ - WIESBADEN,LC,1596
61,NUST (CLOSED),LC,78
62,UPNVY,LC,1539
64,ABIDJAN  NORD (Expansion),LC,1537
65,GIPS,LC,1584
66,VILNIUS ISM,LC,1580
67,Virtual Expansions MX,LC,1589
70,Hradec Králové 🚫,LC,1570
72,Astana,LC,494
73,University Of Namibia (CLOSED),LC,78
74,Patiala,LC,1585
75,Visakhapatnam,LC,1585
76,Minsk,LC,79
78,Namibia,MC,1632
79,Belarus,MC,1629
80,EUROPEAN UNIVERSITY TIRANA (Closed),LC,133
81,Constantine,LC,457
82,Blida,LC,457
83,Padova,LC,1542
84,Subotica,LC,1547
85,Kutaisi [Closed],LC,531
86,Bizerte,LC,1559
87,University of Tehran,LC,495
89,EIABC,LC,476
90,RITSUMEIKAN ASIA PACIFIC UNIVERSITY,LC,1615
91,UZHHOROD,LC,1610
94,UGM,LC,1539
95,Ferrara (Closed),LC,1542
96,Bologna,LC,1542
97,CLOSED (ACU),LC,1611
98,UDS(University of Development Studies),LC,1568
99,CLOSED (UMP),LC,1611
100,ARACAJU,LC,1606
101,"Sunway (Sunway) , Petaling Jaya",LC,1611
102,"University of Nottingham Malaysia Campus (UNMC) , Semenyih",LC,1611
103,CLOSED (UTP),LC,1611
104,UNIVERSITY OF LUXEMBOURG,LC,105
106,Guayana,LC,1557
107,DELFT,LC,1598
108,ISTMO (CLOSED),LC,1582
109,Damietta,LC,1609
110,The University of Georgia,LC,531
111,Awal,LC,518
112,Nepal,MC,1630
